"question","pred","truth"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer HDPE (Phillips, EMH6606) represented by SMILES [*]C[*], with no coating, oriented in the ram direction for a mission time of 0.0048231 years, subjected to a solar exposure of 8 equivalent sun hours and an atomic oxygen fluence of 2.410e+20 atom/cm^2?","0.606","0.568"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polyimide (PMDA) (Kapton H) represented by SMILES [*]c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1, with no coating, oriented in the ram direction for a mission time of 1.17 years, subjected to a solar exposure of 1872 equivalent sun hours and an atomic oxygen fluence of 3.930e+20 atom/cm^2?","0.481","0.477"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Fluorinated ethylene propylene [Teflon FEP] (FEP/Al) represented by SMILES [*]C(F)(F)C(F)(F)C(F)(F)C([*])(F)C(F)(F)F, with aluminum coating, oriented in the zenith direction for a mission time of 0.69 years, subjected to a solar exposure of 1967 equivalent sun hours and an atomic oxygen fluence of 4.840e+18 atom/cm^2?","1.041","1.061"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Fluorinated ethylene propylene [Teflon FEP] represented by SMILES [*]C(F)(F)C(F)(F)C(F)(F)C([*])(F)C(F)(F)F, with no coating, oriented in the ram direction for a mission time of 0.89 years, subjected to a solar exposure of 1424 equivalent sun hours and an atomic oxygen fluence of 2.970e+20 atom/cm^2?","-0.187","-0.187"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Kapton represented by SMILES [*]c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1, with CV1144-0 coating, oriented in the ram direction for a mission time of 0.89 years, subjected to a solar exposure of 1424 equivalent sun hours and an atomic oxygen fluence of 2.970e+20 atom/cm^2?","-0.046","-0.177"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polyvinyl alcohol (MonoSol M1000) represented by SMILES [*]CC([*])O, with no coating, oriented in the ram direction for a mission time of 0.89 years, subjected to a solar exposure of 1424 equivalent sun hours and an atomic oxygen fluence of 2.970e+20 atom/cm^2?","0.568","0.644"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Kapton XC represented by SMILES [*]c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1, with StaMet coating, oriented in the wake direction for a mission time of 0.44 years, subjected to a solar exposure of 587 equivalent sun hours and an atomic oxygen fluence of 4.770e+18 atom/cm^2?","1.176","0.114"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Kapton HN/Al represented by SMILES [*]c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1, with indium tin oxide coating, oriented in the wake direction for a mission time of 0.44 years, subjected to a solar exposure of 587 equivalent sun hours and an atomic oxygen fluence of 4.770e+18 atom/cm^2?","1.041","-0.013"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polyphenylsulfone (Radel 5500) represented by SMILES [*]c1ccc(Oc2ccc(-c3ccc(Oc4ccc(S([*])(=O)=O)cc4)cc3)cc2)cc1, with no coating, oriented in the wake direction for a mission time of 0.44 years, subjected to a solar exposure of 587 equivalent sun hours and an atomic oxygen fluence of 2.650e+18 atom/cm^2?","1.041","0.818"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polypropylene [Contour 28] represented by SMILES [*]CC([*])C, with no coating, oriented in the ram direction for a mission time of 4.0 years, subjected to a solar exposure of 6300 equivalent sun hours and an atomic oxygen fluence of 8.430e+21 atom/cm^2?","0.609","0.428"
