"question","pred","truth"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Kapton represented by SMILES [*]c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1, with no coating, oriented in the ram direction for a mission time of 5.8 years, subjected to a solar exposure of 11200 equivalent sun hours and an atomic oxygen fluence of 8.990e+21 atom/cm^2?","0.468","0.461"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Kevlar 49 (woven fabric) represented by SMILES [*]CONc1ccc(NOCc2ccc([*])cc2)cc1, with no coating, oriented in the ram direction for a mission time of 5.8 years, subjected to a solar exposure of 10471 equivalent sun hours and an atomic oxygen fluence of 6.930e+21 atom/cm^2?","0.158","0.602"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Halar (Allied) represented by SMILES [*]CCC(F)(Cl)C([*])(F)F, with no coating, oriented in the ram direction for a mission time of 0.0048231 years, subjected to a solar exposure of 8 equivalent sun hours and an atomic oxygen fluence of 2.410e+20 atom/cm^2?","0.301","0.279"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Mylar A (DuPont) represented by SMILES [*]OCCOC(=O)c1ccc(C([*])=O)cc1, with no coating, oriented in the ram direction for a mission time of 0.0048231 years, subjected to a solar exposure of 8 equivalent sun hours and an atomic oxygen fluence of 2.410e+20 atom/cm^2?","0.477","0.58"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Low density polyethylene for cosmic ray shielding represented by SMILES [*]C[*], with no coating, oriented in the nadir direction for a mission time of 0.48 years, subjected to a solar exposure of 179 equivalent sun hours and an atomic oxygen fluence of 6.940e+18 atom/cm^2?","0.606","0.906"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Fluorinated ethylene propylene [Teflon FEP] represented by SMILES [*]C(F)(F)C(F)(F)C(F)(F)C([*])(F)C(F)(F)F, with interlayer carbon painted (India Ink) coating, oriented in the ram direction for a mission time of 1.17 years, subjected to a solar exposure of 1872 equivalent sun hours and an atomic oxygen fluence of 3.930e+20 atom/cm^2?","0.241","0.176"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polyimide (PMDA) (Kapton HN) represented by SMILES [*]c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1, with no coating, oriented in the ram direction for a mission time of 1.17 years, subjected to a solar exposure of 1872 equivalent sun hours and an atomic oxygen fluence of 3.930e+20 atom/cm^2?","0.461","0.47"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Fluorinated ethylene propylene [Teflon FEP] represented by SMILES [*]C(F)(F)C(F)(F)C(F)(F)C([*])(F)C(F)(F)F, with back surface aluminized coating, oriented in the ram direction for a mission time of 0.89 years, subjected to a solar exposure of 1424 equivalent sun hours and an atomic oxygen fluence of 2.970e+20 atom/cm^2?","-0.187","-0.197"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polyvinylfluoride Tedlar (TTR10SG3) represented by SMILES [*]CC([*])F, with no coating, oriented in the ram direction for a mission time of 4.0 years, subjected to a solar exposure of 6300 equivalent sun hours and an atomic oxygen fluence of 8.430e+21 atom/cm^2?","0.301","0.504"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Poly(p-phenylene terephthalamide) [Kevlar 29 fabric] represented by SMILES [*]CONc1ccc(NOCc2ccc([*])cc2)cc1, with no coating, oriented in the ram direction for a mission time of 4.0 years, subjected to a solar exposure of 6300 equivalent sun hours and an atomic oxygen fluence of 8.430e+21 atom/cm^2?","0.158","-0.202"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polybutylene terephthalate [VALOX 357] represented by SMILES [*]OCCCCOC(=O)c1ccc(C([*])=O)cc1, with no coating, oriented in the ram direction for a mission time of 4.0 years, subjected to a solar exposure of 6300 equivalent sun hours and an atomic oxygen fluence of 8.430e+21 atom/cm^2?","0.505","-0.04"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polyethylene represented by SMILES [*]C[*], with no coating, oriented in the ram direction for a mission time of 1.5 years, subjected to a solar exposure of 2600 equivalent sun hours and an atomic oxygen fluence of 1.970e+21 atom/cm^2?","0.599","0.607"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polyetherimide [UltemTM 1000] represented by SMILES [*]c1ccc(Oc2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc(Oc6ccc(C([*])(C)C)cc6)cc5C4=O)c2)C3=O)cc1, with no coating, oriented in the ram direction for a mission time of 1.5 years, subjected to a solar exposure of 2600 equivalent sun hours and an atomic oxygen fluence of 1.970e+21 atom/cm^2?","0.528","0.528"
"What is the base-10 logarithm of the atomic oxygen erosion yield of the polymer Polyethylene terephthalate [Mylar A-500] represented by SMILES [*]OCCOC(=O)c1ccc(C([*])=O)cc1, with no coating, oriented in the ram direction for a mission time of 1.5 years, subjected to a solar exposure of 2600 equivalent sun hours and an atomic oxygen fluence of 1.970e+21 atom/cm^2?","0.519","0.508"
